Endeks	onceki	tepedeger	sonraki
11703	-4.22466	-4.20024	-4.2111
11711	-4.31692	-4.3142	-4.32506
11721	-4.34134	-4.33048	-4.34948
11732	-4.39018	-4.38475	-4.4146
11742	-4.5367	-4.52313	-4.53127
11752	-4.54484	-4.53941	-4.5584
11762	-4.56112	-4.54213	-4.55298
11774	-4.52856	-4.52585	-4.53127
11781	-4.3956	-4.36847	-4.37118
11791	-4.61538	-4.61267	-4.62352
11803	-4.42274	-4.40917	-4.42002
11812	-4.32234	-4.30606	-4.31149
11832	-4.06729	-4.05101	-4.05644
11841	-3.98318	-3.9669	-3.96961
11852	-3.85836	-3.8448	-3.85294
11863	-3.53819	-3.52462	-3.53005
11872	-3.34554	-3.32926	-3.33198
11892	-3.08778	-3.08235	-3.08506
11902	-2.91141	-2.89784	-2.90056
11912	-2.75946	-2.74318	-2.7459
11933	-2.17338	-2.16796	-2.18424
11941	-2.21408	-2.20866	-2.21408
11951	-2.2575	-2.24393	-2.24664
11971	-2.23308	-2.21951	-2.23036
11981	-2.24936	-2.22494	-2.23036
11992	-2.2575	-2.25478	-2.2792
12002	-2.17338	-2.15168	-2.16524
12013	-2.0947	-2.08384	-2.08927
12022	-2.035	-2.02957	-2.04043
12033	-1.72568	-1.71483	-1.71754
12043	-1.45164	-1.44621	-1.45435
12053	-1.27256	-1.26984	-1.28341
12062	-1.09347	-1.07719	-1.08262
12071	-0.993081	-0.979514	-0.987654
12081	-0.952381	-0.930674	-0.938814
12091	-0.990368	-0.987654	-1.01207
12102	-1.11247	-1.09076	-1.09347
12152	0.762447	0.773301	0.757021
12162	0.946954	0.965948	0.957808
12172	1.09076	1.10704	1.10433
12183	1.21286	1.21558	1.20201
12212	1.94003	1.95089	1.94275
12223	2.14896	2.15439	2.14353
12231	2.20323	2.21951	2.21137
12241	2.23036	2.24936	2.24664
12250	2.24393	2.27106	2.26835
12271	1.54117	1.55474	1.55203
12330	-0.822141	-0.819427	-0.822141
12340	-0.998508	-0.990368	-0.993081
12351	-1.26713	-1.2617	-1.26713
12391	-1.81522	-1.81251	-1.83693
12402	-1.74196	-1.72568	-1.7501
12411	-2.05671	-2.05128	-2.05671
12421	-2.08656	-2.0757	-2.08384
12441	-2.3606	-2.34432	-2.35789
12452	-2.61837	-2.60752	-2.61294
12461	-2.64822	-2.63736	-2.64008
12481	-2.68078	-2.67264	-2.69706
12492	-2.7676	-2.74318	-2.75132
12502	-2.91955	-2.91412	-2.92226
12520	-2.99824	-2.9901	-2.99552
12532	-3.05793	-3.04708	-3.05793
12541	-3.08506	-3.08235	-3.10134
12552	-3.14476	-3.1339	-3.15018
12561	-3.29128	-3.28856	-3.30484
12573	-3.33198	-3.32926	-3.34012
12591	-3.44594	-3.44322	-3.46222
12601	-3.52191	-3.5002	-3.50292
12612	-3.43508	-3.42423	-3.44322
12621	-3.54904	-3.5409	-3.54904
12631	-3.61959	-3.60602	-3.60874
12641	-3.65486	-3.64944	-3.663
12651	-3.67386	-3.65215	-3.65486
12662	-3.73898	-3.73626	-3.75526
12671	-3.86379	-3.86108	-3.87193
12691	-3.87464	-3.86379	-3.86922
12701	-3.91806	-3.90178	-3.9072
12713	-3.88007	-3.87736	-3.88278
12720	-3.83123	-3.82852	-3.84751
12731	-4.11342	-4.10256	-4.11342
12742	-4.14055	-4.12698	-4.13784
12752	-4.17582	-4.16768	-4.17582
12761	-4.1704	-4.15954	-4.1704
12771	-4.19753	-4.18939	-4.20024
12782	-4.22738	-4.22195	-4.23552
12791	-4.28164	-4.2735	-4.27622
12800	-4.31963	-4.30878	-4.3142
12810	-4.23552	-4.21652	-4.23009
12822	-4.33862	-4.3332	-4.34405
12831	-4.35762	-4.34676	-4.36304
12842	-4.3332	-4.31692	-4.33048
12861	-4.38746	-4.38475	-4.40646
12872	-4.37932	-4.37118	-4.39018
12881	-4.36847	-4.35762	-4.3739
12891	-4.57468	-4.56926	-4.5774
12901	-4.76733	-4.76462	-4.77276
12932	-5.09293	-5.09022	-5.11193
12942	-4.99796	-4.98168	-5.00339
12962	-5.16076	-5.15805	-5.17433
12971	-5.30457	-5.30186	-5.31
12981	-5.29372	-5.28287	-5.28558
12990	-5.35341	-5.3507	-5.35884
13001	-5.32628	-5.30186	-5.30457
13011	-5.3914	-5.37783	-5.38326
13275	-5.5542	-5.3914	-5.44295
13284	-3.97504	-3.56261	-4.09985
